customer_id,prediction,n_actual
00039306476aaf41a07fed942884f16b30abfa83a2a8bea972019098d6406793,0624486001 0624486069 0624486064 0918522001 0624486076 0909370001 0866731001 0624486003 0924243001 0855793002 0759871002 0855793001,1
0003e867a930d0d6842f923d6ba7c9b77aba33fe2a0fbf4672f30b3e622fec55,0827487003 0889036004 0621381012 0640021012 0880017001 0904026001 0913367001 0909371001 0621381016 0920012001 0706016003 0865799006,1
000493dd9fc463df1acc2081450c9e75ef8e87d5dd17ed6396773839f6bf71a9,0788575004 0640021019 0732842021 0399136061 0757926001 0788575002 0732842014 0918522001 0909370001 0924243001 0640021012 0640021023,3
000525e3fe01600d717da8423643a8303390a055c578ed8a97256600baf54565,0874110016 0925509001 0874113026 0909370001 0864562005 0788575004 0761406001 0834924005 0924243001 0918522001 0866731001 0714790020,1
00077dbd5c4a4991e092e63893ccf29294a9d5c46e85010e95f2fc10bf9437a4,0918171001 0879189005 0915529005 0799365027 0486639003 0867966009 0936622001 0448509014 0932798002 0915529003 0935892001 0158340001,14
0008daf19b2a7cd6fa00836c717aa0f143c83d88c35e0269a28cbff53664205a,0786304001 0786304009 0786304008 0456163085 0456163086 0918522001 0909370001 0803757015 0863583002 0924243001 0372860002 0863595006,1
000fb6e772c5d0023892065e659963da90b1866035558ec16fca51b0dcfb7e59,0919273004 0913272003 0786022008 0871519008 0889669006 0762846026 0919273001 0919273002 0884319009 0884319006 0914805002 0884319003,5
0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,0237347060 0562245001 0914441004 0464297007 0897221001 0456163060 0901811001 0610776002 0914441003 0372860002 0610776105 0399256001,9
001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,0907951002 0939503001 0837443001 0918522001 0909370001 0912867001 0924243001 0907951001 0759814034 0866731001 0890631002 0761406006,6
001324f693acaea0dea35333ba00ccddd0162d8bc81e76865034fca36cbb89c8,0868874006 0707269003 0707269004 0871243001 0918522001 0786187003 0909370001 0707269007 0786187002 0786187005 0924243001 0868874004,2
001357d1d1fdfd3f182dad2df9c0f0206876630d1d1b4eb62b269c3d69219b68,0869379002 0918522001 0806388001 0924243001 0916468001 0797988001 0909370001 0869379011 0869379005 0866731001 0850917001 0372860002,1
001436e2c83cda28548dd668cfc7d621d70d2baf6f6cf0684c7cc8499d0c351f,0687524001 0871517012 0687524018 0874816001 0579541001 0868874006 0884319002 0930380003 0863595001 0871517014 0918522001 0909370001,2
0015f37f752a41a75c3be6f3f92deedc4c87d039f1758ec41f54f8c7f4729793,0918171001 0778745010 0929745001 0852442003 0756322009 0536139068 0610776105 0918171003 0914805002 0933990001 0865799006 0918522001,2
00164322e9af7460e84207c8d172912a2c13da209bb0eab92f74545ba217d885,0892558004 0941310001 0801068014 0801068003 0892558001 0579541089 0897146002 0909370001 0904625001 0801068018 0875856004 0918522001,3
0016791478fd7209abe0c4d001b96b304d81f15cb6ad033f20d0e7006e394e58,0579541001 0678942001 0579541086 0579541075 0909370001 0579541072 0918522001 0924243001 0579541089 0863595006 0714790020 0866731001,1
0016df4fbb49288b9ed4a8a0fa3d2f7038fc4ab7f02e3c68f5def1834a158340,0863937010 0863937003 0918522001 0909370001 0803772002 0924243001 0841383002 0841383003 0875469002 0800691007 0850917001 0762846006,1
001c1f8d70782f450524d3b3f404474dbd4a7d0d2ad78a0ec7db76248ce08346,0898886002 0915529003 0898886001 0865799006 0874704002 0915529005 0751471043 0924243001 0918522001 0915529001 0893141002 0897191002,1
001ddeb8fb74fec5693116da83b488e05ee9a9e179f3fd1ff67812cb511ced72,0706016002 0876148002 0843777005 0812271003 0812271001 0842000001 0843777001 0706016015 0918522001 0909370001 0748355003 0924243001,4
001ea4e9c54f7e9c88811260d954edc059d596147e1cf8adc73323aebf571fd8,0863646005 0863646001 0863646002 0863646004 0918522001 0909370001 0863646003 0924243001 0863595006 0866731001 0898694001 0916468003,1
00201f34c8c92683263346d78c2b45ffd0c6927229542d8040a5c5c38b174eb6,0903926001 0903926002 0909320002 0763988003 0874819003 0863646001 0914805002 0905945002 0923569002 0900279001 0902163001 0909370001,2
002253f0e3869ca2833ca2dfec4f8995ad9cdf8ca2333afb2eab7ebafdf09f19,0884668002 0464297031 0723469001 0909370001 0464297007 0918522001 0720125007 0760084003 0829618006 0429313002 0829618004 0859743003,4
00250644a9628fb8c4aebabf555d3caabe44c99c74fbcf67634584f98c6d0098,0902265003 0885951001 0921671001 0857163001 0898439001 0835704001 0810557001 0736870001 0751471001 0874816003 0902265001 0894085001,7
